"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4065","Login-Logout","chromium","2026-04-08","passed","2026-04-08","","LoginFlowValid.spec.js","",""
"","1342","Empty Password field","chromium","2026-04-08","passed","2026-04-08","","loginErrors.spec.js","",""
"","4348","Create and update item via API","chromium","2026-04-08","passed","2026-04-08","","apiTests.spec.js","",""
"","4151","Handles very long title input","chromium","2026-04-08","passed","2026-04-08","","apiTests.spec.js","",""
"","7344","User isolation - users cannot access each other's items","chromium","2026-04-08","passed","2026-04-08","","apiTests.spec.js","",""
"","1304","Show your password checkbox","chromium","2026-04-08","passed","2026-04-08","","LoginFlowValid.spec.js","",""
"","4215","Delete item via API","chromium","2026-04-08","passed","2026-04-08","","apiTests.spec.js","",""
"","4603","List items via API","chromium","2026-04-08","passed","2026-04-08","","apiTests.spec.js","",""
"","1866","Invalid Password","chromium","2026-04-08","passed","2026-04-08","","loginErrors.spec.js","",""
"","6581","Create item via API","chromium","2026-04-08","passed","2026-04-08","","apiTests.spec.js","",""
"","624","Empty Email field","chromium","2026-04-08","passed","2026-04-08","","loginErrors.spec.js","",""
"","4108","Handles potential SQL injection as plain text","chromium","2026-04-08","passed","2026-04-08","","apiTests.spec.js","",""
"","2226","User Login 1","chromium","2026-04-08","passed","2026-04-08","","LoginFlowValid.spec.js","",""
"","1571","Forgot your password UI check","chromium","2026-04-08","passed","2026-04-08","","LoginFlowValid.spec.js","",""
"","718","Invalid Email","chromium","2026-04-08","passed","2026-04-08","","loginErrors.spec.js","",""
"","3192","User Login 2","chromium","2026-04-08","passed","2026-04-08","","LoginFlowValid.spec.js","",""
